,,Honghuayuan,,Guanwu,,Fengxiangqiao,,Qinglongzui,,Miaolinwan West,,Bainidacun-Sanhuaicun,,Lanmaxiang South,,Lujiaozhen,,Yangliugou,,Miaolingwan Central,,Wangjiawan Riverside,,Gaojiabian,,Ludiping,,Xiaotan,,Fenxiang,,Guantangyuan,,Wangjiawan North,,Shichang,,Wangjiawan South,,,TaxonMixedID,FossilGroup
,,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,,NaN,Graptolite
86,Normalograptus mirnyensis,,,,,,,,,5.95,10.79,0.07,0.6,,,4.6,4.85,,,1.15,1.63,8.38,9.14,0.3,3.18,0.16,0.47,0.1,3.15,0,0.67,0,7.35,0,0.71,1.3,7.05,0,2.38,,NaN,Graptolite
87,Sudburigraptus angustifolius,,,,,,,,,5.95,6.24,0.07,0.7,0.38,0.54,,,0.81,1.36,1.29,1.63,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
88,Dimorphograptus confertus nankingensis,,,,,,,,,9.59,14.04,,,,,,,,,1.63,1.9,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
89,Neodiplograptus parajanus,,,,,,,,,9.59,10.09,0.07,0.7,,,,,,,,,,,1.79,4.78,0,0.05,0.85,4,0.12,0.58,,,0,0.28,,,0.56,1.63,,NaN,Graptolite
90,Agetograptus secundus,,,,,,,,,15.14,15.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
91,Normalograptus sinuatus,,,,,,,,,15.14,15.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
92,Korenograptus pseudotamariscus,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,0,0.05,,,,,,,0.5,0.61,,,0.91,1,,NaN,Graptolite
93,Neodiplograptus modestus,,,,,,,,,,,0.6,0.7,,,2.4,3.6,,,1.15,1.29,8.53,10.71,0.71,2.86,0,0.16,,,0.12,0.4,0.6,1.6,0,1.21,,,0.21,0.73,,NaN,Graptolite
94,Paraorthograptus tenuis,,,,,,,,,,,,,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
95,Climacograptus tubuliferus,,,,,,,,,,,,,,,1.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
96,Normalograptus wangjiawanensis,,,,,,,,,,,,,,,3.6,4.2,0.36,0.81,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
97,Atavograptus primitivus,,,,,,,,,,,,,,,4.6,4.85,,,,,,,2.02,2.2,,,,,,,,,0.17,0.28,,,0.35,0.43,,NaN,Graptolite
98,Paraorthograptus uniformis,,,,,,,,,,,,,,,,,0.3,0.36,,,7.2,7.66,,,,,,,,,,,,,,,,,,NaN,Graptolite
99,Normalograptus medius,,,,,,,,,,,,,,,,,0.81,1.36,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
100,Neodiplograptus shanchongensis,,,,,,,,,,,,,,,,,0.96,1.36,,,,,,,,,,,,,,,,,,,0.06,0.28,,NaN,Graptolite
101,Normalograptus subtilis,,,,,,,,,,,,,,,,,0.96,1.36,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
102,Climacograptus hastatus vesicicaulis,,,,,,,,,,,,,,,,,,,0.51,0.63,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
103,Neodiplograptus guantangyuanensis,,,,,,,,,,,,,,,,,,,1.15,1.29,,,,,,,,,,,0.6,1.8,,,,,,,,NaN,Graptolite
104,Paraclimacograptus jinyangensis,,,,,,,,,,,,,,,,,,,1.29,1.63,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
105,Pseudoclimacograptus chiai,,,,,,,,,,,,,,,,,,,,,0,0.3,,,,,,,,,,,,,,,,,,NaN,Graptolite
106,Normalograptus jiangxiensis,,,,,,,,,,,,,,,,,,,,,8.53,9.14,,,,,,,,,,,,,,,,,,NaN,Graptolite
107,Hirsutograptus sinitzini,,,,,,,,,,,,,,,,,,,,,8.71,8.85,2.34,2.47,0.82,1.5,,,0.58,0.67,,,0.28,0.91,3.4,5.4,0.73,1.88,,NaN,Graptolite
108,Paramplexograptus madernii,,,,,,,,,,,,,,,,,,,,,8.71,8.85,,,0.16,0.36,,,,,,,0.06,0.17,,,0.28,1.1,,NaN,Graptolite
109,Hirsutograptus angustifolius,,,,,,,,,,,,,,,,,,,,,,,0,0.71,0,0.47,,,,,,,,,1.3,3.4,0,1.1,,NaN,Graptolite
110,Metabolograptus daedalus,,,,,,,,,,,,,,,,,,,,,,,0,0.3,,,,,,,,,,,,,0.06,0.28,,NaN,Graptolite
111,Normalograptus ajjeri,,,,,,,,,,,,,,,,,,,,,,,0,3.65,,,0,6.2,0.12,0.67,,,0.28,1.29,3.4,5.4,0.21,2.38,,NaN,Graptolite
112,Neodiplograptus charis,,,,,,,,,,,,,,,,,,,,,,,0.3,0.71,,,,,,,,,,,,,0.21,0.35,,NaN,Graptolite
113,Metabolograptus rhizinus,,,,,,,,,,,,,,,,,,,,,,,0.58,0.71,,,,,,,,,,,,,,,,NaN,Graptolite
114,Korenograptus jerini,,,,,,,,,,,,,,,,,,,,,,,1.38,2.02,,,,,0.4,0.48,3.4,5,0.11,0.71,,,0.43,2.18,,NaN,Graptolite
115,Metabolograptus wangjiawanensis,,,,,,,,,,,,,,,,,,,,,,,1.38,4.78,,,,,,,,,0.11,0.37,,,0.06,2.38,,NaN,Graptolite
116,Paramplexograptus paucispinus,,,,,,,,,,,,,,,,,,,,,,,1.38,1.79,,,,,,,1.6,7.35,,,0,3.4,0.35,0.73,,NaN,Graptolite
117,Paramplexograptus wuningensis,,,,,,,,,,,,,,,,,,,,,,,1.38,1.79,0.82,1.5,5.35,6.2,,,1.6,6.15,,,,,1.23,1.98,,NaN,Graptolite
118,Normalograptus anjiensis,,,,,,,,,,,,,,,,,,,,,,,2.02,2.2,0.36,0.82,,,,,0.6,6.75,0.06,0.37,0,3.4,0.35,1.37,,NaN,Graptolite
119,Normalograptus targuii,,,,,,,,,,,,,,,,,,,,,,,2.02,2.2,,,,,,,0.6,1.6,,,1.3,3.4,0.43,1.98,,NaN,Graptolite
120,Parakidograptus praematurus,,,,,,,,,,,,,,,,,,,,,,,2.02,2.2,,,,,,,0.6,3.4,,,,,,,,NaN,Graptolite
121,Hirsutograptus tenuis,,,,,,,,,,,,,,,,,,,,,,,2.34,2.47,,,,,,,,,,,,,0.56,0.73,,NaN,Graptolite
122,Paramplexograptus kiliani,,,,,,,,,,,,,,,,,,,,,,,,,0,0.04,,,,,0.6,1.6,,,0,0.7,0.35,0.43,,NaN,Graptolite
123,Hirsutograptus longus,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.53,,,,,,,,,,,0.91,1,,NaN,Graptolite
124,Dictyonema cucurbitinum,,,,,,,,,,,,,,,,,,,,,,,,,0.82,1.5,,,,,,,,,,,,,,NaN,Graptolite
